AQI,ActionDay,Category,DateForecast,DateIssue,Discussion,Latitude,Longitude,ParameterName,ReportingArea,StateCode,Zipcode
27.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-14 ,2018-09-13 ,,38.919,-77.013,O3,Metropolitan Washington,DC,20002
33.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-14 ,2018-09-13 ,,38.919,-77.013,PM2.5,Metropolitan Washington,DC,20002
31.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-15 ,2018-09-13 ,,38.919,-77.013,O3,Metropolitan Washington,DC,20002
29.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-15 ,2018-09-13 ,,38.919,-77.013,PM2.5,Metropolitan Washington,DC,20002
31.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-16 ,2018-09-13 ,,38.919,-77.013,O3,Metropolitan Washington,DC,20002
25.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-16 ,2018-09-13 ,,38.919,-77.013,PM2.5,Metropolitan Washington,DC,20002
27.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-14 ,2018-09-13 ,,38.834,-77.276,O3,Northern Virginia,VA,22209
33.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-14 ,2018-09-13 ,,38.834,-77.276,PM2.5,Northern Virginia,VA,22209
31.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-15 ,2018-09-13 ,,38.834,-77.276,O3,Northern Virginia,VA,22209
29.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-15 ,2018-09-13 ,,38.834,-77.276,PM2.5,Northern Virginia,VA,22209
31.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-16 ,2018-09-13 ,,38.834,-77.276,O3,Northern Virginia,VA,22209
25.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-16 ,2018-09-13 ,,38.834,-77.276,PM2.5,Northern Virginia,VA,22209
-1.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-14 ,2018-09-12 ,https://www.tceq.texas.gov/airquality/monops/forecast_today.html,32.767,-96.783,O3,Dallas-Fort Worth,TX,75063
-1.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-14 ,2018-09-12 ,https://www.tceq.texas.gov/airquality/monops/forecast_today.html,32.767,-96.783,PM2.5,Dallas-Fort Worth,TX,75063
-1.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-14 ,2018-09-12 ,https://www.tceq.texas.gov/airquality/monops/forecast_today.html,32.767,-96.783,PM10,Dallas-Fort Worth,TX,75063
-1.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-15 ,2018-09-12 ,https://www.tceq.texas.gov/airquality/monops/forecast_today.html,32.767,-96.783,O3,Dallas-Fort Worth,TX,75063
-1.0,False,"{'Number': 1, 'Name': 'Good'}",2018-09-15 ,2018-09-12 ,https://www.tceq.texas.gov/airquality/monops/forecast_today.html,32.767,-96.783,PM2.5,Dallas-Fort Worth,TX,75063
