Latitude|Longitude|User Ratings|City|State
25.0657658|-77.37495599|5|highland park| il
25.97591145|-80.33472113|5|miramar| fl
26.1223084|-80.1433786|4|fort lauderdale| fl
26.7153425|-80.0533746|3|west palm beach| fl
27.3364347|-82.5306527|4|sarasota| fl
27.7703796|-82.6695085|2|st petersburg| fl
27.9477595|-82.458444|4|tampa| fl
28.5421175|-81.3790462|5|orlando| fl
29.4246002|-98.4951405|5|san antonio| tx
29.6196787|-95.6349463|5|sugar land| tx
29.7589382|-95.3676974|5|houston| tx
29.8064555|-94.96772026|5|baytown| tx
30.2711286|-97.7436995|5|austin| tx
30.3321838|-81.655651|5|jacksonville| fl
32.4315813|-80.6698286|4|beaufort| sc
32.7174209|-117.1627714|4|san diego| ca
33.4467681|-112.0756724|5|phoenix| az
33.6856969|-117.8259819|4|irvine| ca
33.7490987|-84.3901849|5|atlanta| ga
33.7774658|-118.1884871|5|long beach| ca
33.8708215|-117.9294165|4|fullerton| ca
33.9400143|-118.1325688|3|downey| ca
33.9562149|-83.9879625|4|lawrenceville| ga
33.9761238|-117.9053395|5|rowland heights| ca
34.0133561|-117.690075|5|chino| ca
34.053717|-118.2427266|2|los angeles| ca
34.0715385|-117.1209933|5|redlands| ca
34.1362075|-118.0401497|4|arcadia| ca
34.2011156|-118.5981424|5|canoga park| ca
34.2031739|-118.6454659|4|west hills| ca
34.2285918|-118.5369316|5|northridge| ca
35.7804015|-78.6390779|5|raleigh| nc
35.9940329|-78.898619|5|durham| nc
36.28678398|-120.5074537|5|ca| ca
37.3361905|-121.8905833|3|san jose| ca
37.3541132|-121.9551744|4|santa clara| ca
37.6090291|-121.899142|4|alameda| ca
37.7792768|-122.4192704|3|san francisco| ca
37.7884969|-122.3558473|5|bay area| ca
37.9063131|-122.064963|5|walnut creek| ca
38.029306|-78.4766781|4|charlottesville| va
38.3004029|-76.5074542|5|california| md
38.3031837|-77.4605399|3|fredericksburg| va
38.6581723|-77.2497049|5|woodbridge| va
38.7073406|-76.5310669|5|north beach| md
38.7890522|-77.1870368|5|springfield| va
38.8051095|-77.0470229|4|alexandria| va
38.8462236|-77.3063733|5|fairfax| va
38.8654418|-76.9842531|4|anacostia| washington dc
38.8895563|-77.0094206|4|capitol hill/northeast| washington dc
38.8903961|-77.0841585|2|arlington| va
38.8949549|-77.0366456|5|washington| dc
38.9051994|-77.062785|4|georgetown, washington| dc
38.9312222|-77.0880336|5|wesley heights, washington| dc
38.95325|-76.9408522|5|hyattsville| md
38.9786401|-76.492786|4|annapolis| md
38.9848265|-77.0946459|5|bethesda| md
39.0017772|-76.6874671|5|crofton| md
39.0180453|-77.2089055|5|potomac| md
39.5287282|-74.6479364|5|egg harbor city| nj
39.6852191|-75.7508289|4|newark| de
39.7683331|-86.1583501|4|indianapolis| in
39.9483182|-75.30688625|5|drexel hill| pa
39.952335|-75.163789|5|philadelphia| pa
39.9622601|-83.0007065|2|columbus| oh
40.3492744|-74.6592958|4|princeton| nj
40.4416941|-79.9900861|3|pittsburgh| pa
40.5140894|-112.0328198|5|herriman| ut
40.5834557|-74.1496048|5|staten island| ny
40.6339929|-74.0145841|3|bay ridge, brooklyn| ny
40.6652251|-74.3045277|5|union| nj
40.6914852|-73.8056771|3|jamaica| ny
40.7305991|-73.9865812|5|new york| ny
40.7612123|-73.8651358|5|east elmhurst| ny
40.7654301|-73.8174291|5|flushing| ny
40.7670126|-111.8904308|4|salt lake city| ut
40.7684331|-73.5251253|5|hicksville| ny
40.7735431|-73.9587337|4|manhattan| ny
40.7902778|-73.9597222|5|manhattan| ny
40.8270448|-73.975694|5|edgewater| nj
41.118703|-96.25659387|5|gretna| ne
41.4553232|-81.9179174|4|westlake| oh
41.6803915|-72.78827729|4|new britain| ct
41.8239891|-71.4128343|5|providence| ri
41.8755546|-87.6244212|5|a| a
42.0447388|-87.6930459|4|evanston| il
42.1306554|-71.0411582|4|avon| ma
42.3317642|-71.1211635|5|brookline| ma
42.3554344|-71.1321271|5|allston| ma
42.3604823|-71.0595678|5|boston| ma
42.3785931|-71.13171366|5|cambridge| ma
42.4605917|-83.1346478|5|ferndale| mi
42.8864468|-78.8783689|2|buffalo| ny
44.9772995|-93.2654692|5|minneapolis| mn
45.8907389|-67.0122574|4|prince william| va
47.6038321|-122.3300624|5|seattle| wa
47.6144219|-122.1923372|5|bellevue| wa
49.2608944|b|5|vancouver| canada
a|-96.7968558|3|dallas| tx
||5|torrey pines, san diego| ca
||4|ogontz campus| pa
